#separator:tab,
#html:true,
merkwürdig,"Etrange, connotation neutre/etonnant"
"die Absicht, en&nbsp;",l'intention
bereit,prêt
"beschließen - beschließt, beschloss, hat beschlossen",décider (formel)
"sich entschliessen - entschliesst sich, entschloss sich, hat sich entschlossen (zu + D)",se décider (à)
"entscheiden - entscheidet, entschied, hat entschieden",décider
"das Ziel, e","le but, l'arrivée"
wozu ?,pourquoi ? dans quel but ?
zögern,hésiter
ab/lehnen,refuser/décliner
sich weigern,refuser (de faire qqch)
handeln,agir
"finden - findet, fand, hat gefunden",trouver
"machen / tun - tut, tat, hat getan",faire
"die Tat, en&nbsp;","l'action, l'acte, l'exploit"
"die Tätigkeit, en",l'activité
sich kümmern (um + A),"se soucier, s'occuper (de)"
"lassen - lässt, ließ, hat gelassen","laisser, faire (faire qqch)"
(sich) vor/bereiten (auf + A),se préparer (à)
versuchen/probieren,"essayer, tenter"
fertig,"prêt, fini, achevé"
"gelingen - gelingt, gelang, ist gelungen (+ D)",réussir
"misslingen - misslingt, misslang, ist misslungen (+D)",échouer
erreichen (+A),"atteindre, parvenir (à)"
"vermeiden - vermeidet, vermied, hat vermieden",éviter
umsonst,"1. gratuitement 2. En vain, pour rien"
"unterbrechen - unterbricht, unterbrach, hat unterbrochen",interrompre
schwierig,difficile
"die Schwierigkeit,en&nbsp;",la difficulté
wirken (auf + A),"produire de l'effet, agir (sur)"
wirksam,efficace
"die Wirkung, en",l'effet
"treiben - treibt, trieb, hat getrieben",1. actionner 2. pousser 3. exercer (une activité)
sorgfältig,"soigneux, soigneusement"
"nehmen - nimmt, nam, hat genommen",prendre
"ergreifen - ei, i , i",saisir
"heben - hebt, hob, hat gehoben","soulever, lever"
"halten - hält, hielt, hat gehalten",tenir
"ziehen - zieht, zog, hat gezogen",tirer
"werfen - wirft, warf, hat geworfen","jeter, lancer"
"tragen - trägt, trug hat getragen",porter
drücken,"presser, serrer"
trennen&nbsp;,séparer
"die Kraft, die Kräfte",la force
stark/kraftig,fort
schwach,faible
krank,malade
"leiden - leidet, litt, hat gelitten (an + D)",souffrir (de)
"brechen - bricht, brach, hat gebrochen","casser, briser, rompre"
untersuchen,1. examiner 2. enquêter
müde,fatigué
"schlafen - schläft, schlief, hat geschlafen",dormir
träumen,rêver
"auf/stehen - steht auf, stand auf, ist aufgestanden",se lever
"der Sinn, e","1. le sens 2. l'esprit, la pensée"
"sehen - sieht, sah, hat gesehen",voir
"an/sehen - (ie), a ,e",regarder/contempler
schauen,regarder
beobachten,observer
"der Blick, e","le regard, le coup d'œuil"
blind,aveugle
anhören,écouter
hören&nbsp;,entendre
leise,"léger (bruit), doucement"
laut,"fort, bruyant"
berühren,toucher
spüren,ressentir
"riechen - riecht, roch, hat gerochen",
"aus/sehen - sieht aus, sah aus, hat ausgesehen","paraître, avoir l'air"
"der Mantel, die Mäntel",le manteau
"die Hose, n",le pantalon
"das Hemd, en",la chemise
"der Hut, die Hüte",le chapeau
sauber,propre
schmutzig,sale
"waschen - wäscht, wusch, hat gewaschen",laver
(sich) baden,(se) baigner
"der Kamm, die Kämme",le peigne
"das Aussehen, -",l'apparence
"die Kleidung, /","l'habillement, les vetements"
(sich) ernähren,(se) nourrir
"die Nahrung, /",la nourriture
kochen,"cuire, faire la cuisine"
"die Küche, n",la cuisine
"schneiden - schneidet, schnitt, hat geschnitten",couper
"backen - backt, backte, hat gebacken",cuire au four
"essen - isst, ass, hat gegessen",manger
"trinken - trinkt, trank, hat getrunken",boire
"das Essen, -",le repas
"der Hunger, /",la faim
"schliessen - schliesst, schloss, hat geschlossen (aus + D)",1.fermer 2.conclure (de)
ouvrir,offen
voll,plein
leer,vide
leeren,vider
mit/teilen + D,communiquer
sagen,dire
"sprechen - spricht, sprach, hat gesprochen (von + D / über + A)",parler (de)
"sprechen - spricht, sprach, hat gesprochen (+ A / mit + D)",parler (à)
sich erkundigen (nach + D),"se renseigner (sur), s'informer (de)"
diskutieren,discuter
fragen (+ A),"questionner, interroger, demander (à)"
fragen (nach + D),se renseigner
antworten (auf + A / + D),répondre (à qqch ou qqun)
beantworten (+A),répondre
"die Rede, n",le discours
"der Ruf, e",1. le cri/l'appel 2. la réputation
"rufen - ruft, rief, hat gerufen","appeler, crier"
"schreien - schreit, schrie, hat geschrien",crier
"schweigen - schweigt, schwieg, hat geschwiegen",se taire
"der Artikel, -",l'article (de journal par exemple)
"das Gedächtnis, ses, se",la mémoire
"die Idee, n",l'idée
"denken - denkt, dachte, hat gedacht",penser
überlegen (+ A),réfléchir (à)
sich vor/stellen,se représenter / se présenter
"verstehen - versteht, verstand, hat verstanden",comprendre
"das Geheimnis, ses, es","le secret, le mystère"
lösen&nbsp;,résoudre
"das Problem, e",le problème
(be)merken,"remarquer, s'apercevoir de&nbsp;"
"die Bemerkung, en","la remarque, l'observation"
errinern (an + A),rappeler
sich errinern,se souvenir
"die Errinerung, en&nbsp;",le souvenir
"vergessen - vergisst, vergass, hat vergessen",oublier
aufmerksam (auf + A),attentif à
"kennen - kennt, kannte, hat gekannt",connaitre
berühmt,célèbre
suchen,chercher
"das Urteil, e",le jugement
beurteilen,juger
"die Hauptsache, n","l'essentiel, le principal"
kritisieren,critiquer
lachen,rire
sinnvoll,raisonnable/sensé
selbstverständlich,naturel/qui va de soi
einfach,simple
verrückt,"fou, insensé, extravagant"
sinnloss/absurd,absurde
"der Unsinn, /","le non-sens, l'absurdité, la bêtise"
"der Vorteil, e",l'avantage
"der Nachteil, e","l'inconvénient, le désavantage"
meinen,1. être d'avis/penser 2. dire
"die Meinung, en/die Ansicht, en","l'opinion, l'avis"
"der Standpunkt, e",le point de vue
"vor/schlagen - schlägt vor, schlug vor, hat vorgeschlagen",proposer
"raten - rät, riet, hat geraten",conseiller (à qqun / qqch)
überzeugen,convaincre/persuader
"der Tipp, s","le tuyau, le conseil"
"die Ausrede, n",l'excuse (inventée pour s'en tirer)
"der Grund, die Gründe","1. la raison, le motif 2. le fond&nbsp;"
"beweisen - beweist, bewies, hat bewiesen&nbsp;",prouver
also,donc (conséquence)
erklären,1. expliquer 2. déclarer
darum/deswegen/deshlab/daher,"c'est pourquoi, aussi"
eigentlich,"au fond,à proprement parler"
nämlich,"en effet, car - jamais en tête d'énoncé !"
wohl,probablement/sans doute
einerseits...ander(er)seits,d'une part...d'autre part
allgemein,"général, universel"
überhaupt,"en général, complètement, du tout"
außerdem,"en outre, en plus, par ailleurs"
übrigens,"d'ailleurs, à propos, du reste"
sogar,même
bestimmt,"certainement, assurément"
betonen (+A),"mettre l'accent (sur), souligner"
gewiss (un-),certain (incertain)
nicht wahr ?,n'est-ce pas ?
unbedingt/absolut,absolu(ment)
jedenfalls,"en tout cas, dans tout les cas"
sowieso,de toute manière&nbsp;
wieso ?,Comment se fait-il (que)
leider&nbsp;,malheureusement/hélas
"Leid tun - tut Leid, tat Leid, hat Leid getan","faire de la peine, faire pitié, regretter"
schade !&nbsp;,dommage !
"wiedersprechen - wiederspricht, wiedersprach, hat wiedersprochen (+D)",contredire (qn)
"der Widerspruch, die Widersprüche",la contradiction
"das Gegenteil, e",le contraire
dagegen/hingegen,"en revanche, par contre"
"allerdings, freilich","1. certainement, assurément&nbsp;2. mais, toutefois"
"doch, jedoch, dennoch","pourtant, cependant"
trotzdem,"malgré tout, néanmoins, quand même"
zwar,"1.&nbsp;&nbsp;A savoir, c'est a dire (permet de clarifier)<br>2. Certes, à vrai dire (limite la portée)"
keineswegs,nullement
"die Tatsache, n",le fait
tatsächlich,"effectivement, de fait"
stimmen,"1. être exact, être correct, être juste<br>2. accorder (instrumetn)"
recht/Recht (un-) haben,avoir raison (tort)
richtig(un-),juste (faux)
"die Wahrheit, en&nbsp;",la vérité
wahr (un-),vrai (pas vrai)
falsch&nbsp;,faux
sich irren,se tromper
"der Irrtum, die Irrtümer&nbsp;",l'erreur
"lügen - lügt, log, hat gelogen",mentir
"die Lüge, n&nbsp;",le mensonge
warnen (vor + D),"avertir, mettre en garde"
widerlegen,réfuter
"bestreiten - bestreitet, bestritt, hat bestritten",contester
rechtfertigen,justifier
ausschließlich,exclusivement
leugnen,nier
auf/fassen,concevoir (par la pensée)
"die Auffassung, en","la conception, l'opionion"
irreführend,trompeur
grüssen/begrüssen,saluer
"der Gruss, es, Grüsse","le salut, la salutation"
willkommen (un-),bienvenu (malvenu)
wie geht's ? / wie geht es ?,comment ça va ?
"der Glückwunsch, die Glückwünsche","&nbsp;les félicitations, les voeux"
ebenfalls/gleichfalls,"de même, pareillement"
auf Wiedersehen !,au revoir
auf Wiederhören !,"au revoir (au téléphone, à la radio)"
"Abschied nehmen - i, a, o (von + D) / sich verabschieden (von + D)",prendre congé (de)
danken (+D = qn / für + A = de qc),remercier
danke,merci
"dankbar (+D : à qn, auf + A = de qc)",reconnaissant&nbsp;
bitte&nbsp;,"je vous en prie, je t'en prie, s'il te plâit"
(sich) entschuldigen,(s') excuser
"die Entschuldigung, en&nbsp;",l'excuse
"verzeihen - verzeiht, verzieh, hat verziehen (+ D)",pardonner (à)
Verzeihung !&nbsp;,pardon !
"bitten - bittet, bat, hat gebeten (+A = à qn / um + A = qc )","demander (qc à qn), prier"
"die Bitte, n","la prière, la demande&nbsp;"
winken (+D),faire signe (à)
zeigen (auf + A),montrer (qc du doigt)
"befehlen - befiehlt, befahl, hat befohlen","commander, ordonner"
"der Befehl, e","l'ordre, le commandement"
verlangen (von + D),"exiger (de), demander (à)"
"sollen - soll, sollte, hat gesollt","devoir (devoir moral, ou dans un conseil (Eg. tu devrais...))"
"müssen - muss, musste, hat gemusst","devoir (conviction personnelle, conclusion logique, ou une force externe qui ne laisse pas le choix)"
"dürfen - darf, durfte, hat gedurf","avoir la permission, pouvoir"
erlauben&nbsp;,permettre
"die Erlaubnis, se","la permission, l'autorisation"
gratulieren (+D / zu + D),"féliciter (qn de qc), présenter ses vœux"
"verbieten - verbietet, verbot, hat verboten","défendre, interdire"
"das Verbot, e&nbsp;","l'interdiction, la défense"
doch,"1. si ! (s'opposer a une opinion) 2. exprimer un changement d'opinion (j'avais choisi A, mais au final B) 3. Rendre moins aggressif un imperatif&nbsp;"
denn&nbsp;,donc/ça (renforce une question Eg : où donc/où ça ?)<br>
sonst,1.sinon 2. d'ordinaire
fordern,"1. exiger, demander 2. causer"
die Medien (Pl),les médias
(sich) melden,(s')annoncer
"die Nachricht, en","la nouvelle, l'information"
"das Interview, s",l'interview
interviewen&nbsp;,interviewer
"der Journalist, en, en / die -in","le, la journaliste"
"der Reporter, - / die -in","le, la reporter"
"die Reportage, n",le reportage
"die Presse, /",la presse
"die Umfrage, n",le sondage
"stehen - steht, stand, hat gestanden",être écrit
"die Zeitung, en&nbsp;",le journal
"die Redaktion, en&nbsp;",la rédaction
"der Redakteur, e / die -in","le, la rédactrice"
"die Anzeige, n / die Annonce, n",l'annonce (dans le journal)
"erscheinen - erscheint, erschien, ist erschienen","paraître, apparaître"
"das Radio, s",la radio
senden,émettre
"der Sender, -&nbsp;",l'émetteur
"die Sendung, en",1. l'émission<br>2. l'envoi
"das Studio, s&nbsp;",le studio
"fern/sehen - sieht fern, sah fern, hat ferngesehen",regarder la télévision
"das Fernsehen, /",la télévision
"der Bildschirm, e",l'écran
"die Zensur, /",la censure
"das Plakat, e",l'affiche
"die Post, /&nbsp;",1. la poste 2. le courrier
"schicken / senden - sendet, sandte, hat gesandt","envoyer, expédier"
"ein/schreiben - schreibt ein, schrieb ein, hat eingeschrieben","inscrire, recommander (poste)"
"die Adresse, n",l'adresse
"der Brief, e",la lettre
"der Computer, -",l'ordinateur
"unterschreiben - ei, ie, ie",signer
"die Unterschrift, en",la signature
"der (Brief)Umschlag, die Umschläge",l'enveloppe
"der Inhalt, e&nbsp;",le contenu
"die Karte, n",la carte
"die (Brief)Marke, n",le timbre-poste
"der Briefkasten, die Briefkästen",la boite aux lettres
"der Briefträger, - / die -in","le, la facteur / trice"
"das Paket, e&nbsp;",le paquet
telefonieren (mit + D),téléphoner (à)
"das Telefon, e",le téléphone
telefonsich,téléphonique
"das Handy, s&nbsp;",le téléphone portable
"verbinden - verbindet, verband, hat verbunden",relier
"die Verbindung, en","la liaison, la communication"
"an/rufen - ruft an, rief an, hat angerufen",appeler (par téléphone)
"der Anrunf,e&nbsp;",l'appel (téléphonique)
"mögen - mag, mochte, hat gemocht","1. avoir envie (au conditionnel) 2. aimer 3. être possible, probable"
gern (un-),volontiers (à contrecoeurs)
"gefallen - gefällt, gefiel, hat gefallen (+D)",plaire (à)
"vor/ziehen - zieht vor, zog vor, hat vorgezogen",préférer
eher,plûtot
zufrieden (un-) (mit + D),"content, satisfait (de)"
angenehm (un-),agréable (dés-)
"die Sympathie, n (zu + D)",la sympathie (pour)
sympathisch (un-),sympathique
lieben,aimer
"die Liebe, /",l'amour
Lieblings...,"favori, préféré"
beliebt (un-),"apprécié, populaire, en vogue"
bewundern&nbsp;,admirer
küssen,"embrasser, donner un baiser"
"der Kuss, die Küsse",le baiser
"(sich) freuen (auf, über + A)","réjouir, faire plaisir"
"die Freude, n&nbsp;","la joie, le plaisir"
froh,"joyeux, content"
lächeln&nbsp;,sourire
"der Spaß, die Späße","1. le plaisir 2. la plaisanterie, l'amusement"
"das Vergnügen, -",le plasir
vergnügt,"réjoui, gai"
Lust haben (zu + D / auf + A),avoir envie (de)
lustig,"gai, joyeux, amusant, drôle"
"der Witz, e",la plaisanterie
"an/ziehen - zieht an, zog an, hat angezogen",attirer
reizend,charmant
"das Glück, /","la chance, le bonheur"
glücklich (un-),heureux (malheureux)
"das Unglück, e",1. le malheur 2. l'accident
glücklicherweise (un-),heureusement (mal-)
Pech haben,"avoir la poisse, ne pas avoir de chance"
hoffen (auf + A),espérer (qc)
"die Hoffnung, en&nbsp;","l'espoir, l'espérance"
hoffentlich,"il faut espérer que..., espérons que..."
"das Mitleid, / (mit + D)","la pitié (de, pour)"
trösten,consoler
(sich) ärgern (über + A),"(se) fâcher, (s') irriter (contre)"
"der Ärger, /","le dépit, la contrariété"
ärgerlich (über + A),"1. fâché (de), vexé 2. fâcheux, irritant"
stören,déranger
böse,"méchant, mauvais"
böse (auf + A / +D),fâché (contre)
"der Zorn, /",la colère
zornig,en colère
wütend,furieux
bedauern,"regretter, déplorer"
(sich) beklagen (über + A),(se) plaindre (de)
sich beschweren (über + A),se plaindre (de)
schimpfen (über + A / auf + A),"rouspéter, maugréer (contre qc)"
hassen,détester
enttäuschen,décevoir
"die Enttäuschung, en",la déception
peinlich,"gênant, qui met mal à l'aise, pénible"
schlimm,"grave, fâcheux, mauvais"
schrecklich,"terrible, affreux, effrayant"
"die Sorge, n (um + A / über + A)",le souci (pour / au sujet de )
besorgt (un-) (um + A),inquiet (pour)
traurig,triste
deprimiert,déprimé
weinen,pleurer
"die Träne, n",la larme
verzweifeln&nbsp;,désespérer
"die Verzweiflung, /",le désespoir
"die Angst, die Ängste (vor + D)",la peur (de)
ängstlich,"peureux, craintif"
nervös,nerveux
furchtbar,"redoutable, terrible, affreux"
unheimlich,inquiétant
zittern (vor + D),trembler (de)
"die Wut, /","la colère, la fureur, la rage"
beschimpfen,"injurier, insulter"
(sich) empören (über + A),"(s') indigner (de), (se) révolter (contre)"
quälen,"tourmenter, torturer"
"die Qual, en","la souffrance, le tourment"
melancholisch,mélancolique
(sich) fühlen,(se) sentir
"das Gefühl, e",le sentiment
"empfinden - empfindet, empfand, hat empfunden","ressentir, éprouver"
"die Empfindung, en",la sensation
empfindlich,"sensible, susceptible"
bewegen,émouvoir
"die Laune, n",l'humeur
gelaunt,"disposé, d'humeur"
sich auf/regen (über+A),"s'énerver, s'exciter (à propos de)"
erschrecken,effrayer
"die Furcht, /",la crainte
"die Aufregung, en","l'agitation, l'exitation"
erregen,"susciter, exciter"
"die Spannung, en","la tension, le suspense"
(sich) wundern (über+A),(s') étonner (de)
erstaunt (über+A),étonné
erstaunlich,étonnant
überraschen,surprendre
"die Überraschung, en",la surprise
rühren,"émouvoir, toucher"
gespannt (auf+A),"tendu, curieux, impatient (de savoir)"
"der Trieb, e","l'impulsion, l'instinct"
"der Stoff, e","la matière, la substance"
"der Kunststoff, e",la matière synthétique
künstlich,artificiel
künstlerich,artistique
rein (un-),pur (im-)
"das Material, ien","1. le matériel 2. le matériau, la matière"
"der Boden, die Böden","1. le sol, le terrain 2. le plancher"
"das Metall, e",le métal
metallen/metallisch,"en métal, métallique"
"das Eisen, -&nbsp;",le fer
eisern,"en fer, de fer"
"das Silber, /",l'argent (le métal)
"das Gold, /",l'or
golden&nbsp;,en or
"das Holz, die Hölzer",le bois
"das Gas, e",le gaz
"die Energie, n",l'énergie
elektrisch,électrique
"der Strom, die Ströme",le courant (électrique) / le fleuve
"das Atom, e",l'atome
"der Kern, e",le noyau
"das Werk, e (nicht die kunstleriche Art)",l'usine
"die Fabrik, en",la fabrique
"der Fabrikant, en, en / die -in","le, la fabricant -e"
"die Industrie, n",l'industrie
"der Betrieb, e","1. l'exploitation, l'usine 2. l'activité"
"unternehmen - unternimmt, unternahm, hat unternommen",entreprendre
"das Unternehmen, -",l'entreprise
"die Abteilung, en","la section, le rayon, la division"
her/stellen / produzieren,"fabriquer, produire"
"die Produktion, en",la production
"das Produkt, e",le produit
produktiv (un-),productif (im-)
"die Leistung, en","le rendement, la performance, l'exploit"
"die Maschine, n",la machine
"der Mechaniker, - / die -n","le, la mécanicien-ne"
"die Technik, en",la technique
"der Techniker, - / die -in","le, la technicien - ne"
technisch,technique
"der Ingenieur, e / die - in",l'ingénieur-e
"erfinden - erfindet, erfand, hat erfunden",inventer
entwicklen,développer
"die Entwicklung, en","le développement, l'évolution"
"das Team, s / die Mannschaft, en",l'équipe
organisieren / veranstalten,organiser
"die Organisation, en",l'organisation
"das Modell, e",le modèle
ersetzen (durch+A),remplacer par
"der Ersatz, /","la compensation, le remplacement"
echt (un-),"véritable, authentique"
"der Handwerker, - / die -in",l'artisan-e
drehen&nbsp;,tourner (mouvement circulaire)
erzeugen,produire
leisten,"faire, accomplir"
handeln (mit+D),faire le commerce (de)
"der Handel, /",le commerce
"der Kunde, n, n . die -in / der Klient, en, en / die -in","le, la client-e"
"der Kaufmann, Kaufleute / die Kauffrau, en","le, la marchand / -e commerçant / -e&nbsp;"
kaufen,acheter
"der (Ein)Kauf, die (Ein)Käufe&nbsp;",l'achat
"der Käufer, - / die -in",l'acheteur-euse
ein/kaufen,faire des achats
sich leisten&nbsp;,"s'offrir, se payer"
verkaufen,vendre
"der Verkauf, die Verkäufe",la vente
"der Verkäufer, - / die -in","le, la vendeur / -euse"
ausverkauft,1. épuisé (articles) 2. complet (spectacle)
"der Preis, e",le prix
preiswert,"avantageux, qui vaut son prix"
kosten,1. coûter 2. goûter&nbsp;
die Kosten (Pl),les frais
billig,bon marché
günstig (un-),"favorable, avantageux"
umsonst / gratis,gratuitement
teuer,"cher, coûteux"
"der Wert, e",la valeur
"die Summe, n",la somme
"die Rechnung, en","1. le calcul, 2. la facture, l'addition"
bezahlen / zahlen,payer
"die Kasse, n",la caisse
"aus/geben - gibt aus, gab aus, hat ausgegeben",dépenser (sans z)
"die Ausgabe, n",la dépense
"die Quittung, en","la quittance, le reçu"
"das Geld, er",l'argent ( la monnaie )
bar,comptant (argent)
"das Kleingeld, /",la monnaie (pièces)
"der Geldbeutel, - / das Portemonnaie, s",le porte-monnaie
"das Geschäft, e",1. le magasin 2. l'affaire
geschäftlich,"commercial, relatif aux affaires"
kommerziell,commercial
"der Laden, die Läden","le magasin, la boutique"
"der Markt, die Märkte",le marché
"der Supermarkt, die Supermärkte",le supermarché
"der Flohmarkt, die Flohmärkte",le marché aux puces
"das Schaufenster, -",la vitrine
"die Bäckerei, en",la boulangerie
"die Metzferei, en / die Fleischerei, en",la boucherie
"die Ware, n",la marchandise
"das Stück, e","le morceau, la tranche"
"die Marke, n",la marque
"laufen - läuft, lief, ist gelaufen / funktionieren",fonctionner
konsumieren / verbrauchen,consommer
"der Verbraucher, - / die -in","le, la consommateur / -trice"
brauchen (+A),avoir besoin (de)
nötig (un-) / notwendig,nécéssaire
bestellen,commander (une marchandise)
"der Auftrag, die Aufträge",1. la mission 2. la commande
"der Vertrag, die Verträge","le contrat, le traité"
"die Bedingung, en",la condition
"die Konkurrenz, /",la concurrence
"bieten - bietet, bot, hat geboten (dans un contexte commercial)",offrir (Ex. Combien m'offres tu pour ce tableau)
"an/bieten - ie, o, o",offrir&nbsp;
"das Angebot, e",l'offre
besorgen (+A),1. se charger (de) 2. procurer
liefern,livrer
"die Reklame, n",la réclame
"die Werbung, /",la publicité
"der Prospekt, e",le prospectus
"der Katalog, e",le catalogue
"vertreiten - vertritt, vertrat, hat vertreten",1. représenter 2. remplacer
"der Vertreter, - / die -in","1. le, la représentant-e 2. le, la remplaçant-e"
"die Firma, die Firmen","la maison, la firme"
"die Messe, n","la foire, la messe"
ein/führen / importieren,1. introduire 2. importer
aus/führen / exportieren,exporter
kostbar,précieux
"das Bedürfnis, ses, se (nach+D)",le besoin (de)
vorhanden,"existant, disponible"
verschaffen,procurer
"das Büro, s",le bureau
"der Sekretär, e / die -in","le, la secrétaire"
"die Bank, en",la banque
"das Konto, s","le compte (bancaire, postal)"
"das Prozent, e",le pour-cent
profitieren (von+D),profiter (de)
"der Profit, e",le profit
"leihen - leiht, lieh, hat geliehen / borgen (1. +D 2. von+D)",1. prêter (à) 2. emprunter (à)
sparen,"épargner, économiser"
sparsam,"économe, économique"
"der Scheck, s",le chèque
"der Franken, -",le franc
"der Rappen, -",le centime
"der Euro, -",l'euro
"der Cent, -&nbsp;",le centime (d'euro)
wechseln&nbsp;,changer
um/tauschen,1. échanger 2. changer
versichern,assurer
"die Versicherung, en",l'assurance
"das Kapital, /",le capital
"der Beitrag, die Beiträge (zu+D)",la contribution (à)
tauschen,échanger
"bei/tragen - trägt bei, trug bei, hat beitragen (zu+D)",contribuer (à)
arbeiten,travailler
"die Arbeit, en",le travail
"der Arbeiter, - / die -in","le, la travailleur / -euse"
"der Mitarbeiter, - / die -in","le, la collaborateur / -trice"
"der Arbeitnehmer, - / die -in","l'employé-e, le, la salarié-e"
"der Arbeitgeber, - / die -in","l'employeur, -euse"
"der Chef,s / die -in","le, la chef-fe, patron-ne"
"der Direktor, en / die Direktorin","le, la directeur / -rice"
leiten,"diriger, conduire"
"die Leitung, en","la direction, la conduite"
"der Beruf, e","la profession, le métier"
"der Fachmann, Fachleute / die Fachfrau, en","le, la spécialiste"
"die Stelle, n","la place, l'endroit<br>l'emploi"
"die Stellung, en","la place, la position&nbsp;"
ein/stellen / an/stellen,"engager, embaucher"
"entlassen - entlässt, entliess, hat entlassen","licencier, renvoyer, révoquer"
"sich bewerben - bewirbt sich, bewarb sich, hat sich beworben&nbsp;","postuler, solliciter"
"die Bewerbung, en",la postulation
verdienen,1. gagner (un salaire) 2. mériter
"der Lohn, die Löhne","le salaire, la paye"
(sich) lohnen,valoir la peine
"die Arbeitslosigkeit, /",le chômage
arbeitslos,"au chômage, sans travail"
sozial (un-),social (anti-)
kündigen (+D),"résilier, donner son congé (à)"
"der Lebenslauf, /",le curriculum vitæ
"die Rente, n","la rente, la retraite"
aus/beuten,exploiter (profiter de qn)
"das Einkommen, -",le revenu
"die Ausbeutung, /",l'exploitation
streiken,faire la grève
"die Gewerkschaft, en",le syndicat
sich beteiligen (an+D),participer (à)
"die Buchhaltung, /",la comptabilité&nbsp;
"haben - hat, hatte, hat gehabt",avoir
"besitzen - besitzt, besaß, hat besessen&nbsp;",posséder
"der Besitzer, - / die -in",le propriétaire
"das Eigentum, /",la propriété
gehören (+D),appartenir (à)
eigen,"propre, personnel, à soi"
privat,privé
"das Vermögen, -",la fortune
"der Reichtum, die Reichtümer",la richesse
reich,riche
"die Armut, /",la pauvreté
"die Not, die Nöte","la détresse, la nécéssité"
arm,pauvre
schuldig sein,devoir (de l'argent)
"die Schuld, en",la dette
"die Sinnlosigkeit, / / die Absurdität, /",l'absurdité
"gewinnen - gewinnt, gewann, hat gewonnen (+A / an+D)",gagner (qc)
"der Gewinn, e","le gain, le bénéfice"
"verlieren - verliert, verlor, hat verloren (+A / an+D)",perdre (qc)
"der Verlust, e",la perte
"die Wirtschaft, /",l'économie
wirtschaftlich / ökonomisch,économique
verfügen (über + A),disposer (de)
"der Wohlstand, /","le bien-être, la prospérité"
geizig&nbsp;,avare
